Date,Price,Open,High,Low,Vol,Change
"Feb 16, 2014","255.6","371.1","540.0","91.7","474.94K","-31.12%"
"Feb 09, 2014","371.1","648.8","700.0","302.2","243.42K","-42.80%"
"Feb 02, 2014","648.8","940.4","959.6","632.1","107.92K","-31.01%"
"Jan 26, 2014","940.4","961.0","1,038.1","909.5","51.59K","-2.15%"
"Jan 19, 2014","961.0","905.7","980.5","901.9","45.70K","6.11%"
"Jan 12, 2014","905.7","1,005.3","1,022.7","867.2","52.66K","-9.91%"
"Jan 05, 2014","1,005.3","924.7","1,093.4","858.9","113.16K","8.72%"
"Dec 29, 2013","924.7","762.0","932.2","735.0","74.20K","21.35%"
"Dec 22, 2013","762.0","640.5","836.8","615.0","93.74K","18.97%"
"Dec 15, 2013","640.5","908.9","927.9","454.9","293.97K","-29.54%"
"Dec 08, 2013","908.9","697.0","1,067.7","653.0","144.17K","30.40%"
"Dec 01, 2013","697.0","1,205.7","1,239.9","576.0","362.23K","-42.19%"
"Nov 24, 2013","1,205.7","832.5","1,241.9","745.2","213.00K","44.82%"
"Nov 17, 2013","832.5","462.0","900.9","453.3","379.68K","80.21%"
"Nov 10, 2013","462.0","367.8","476.9","290.0","228.96K","25.60%"
"Nov 03, 2013","367.8","211.7","395.0","212.1","294.92K","73.74%"
"Oct 27, 2013","211.7","188.6","216.5","188.9","63.77K","12.27%"
